1587144695.84; bitcoin; eur; 6481.36 § ethereum; eur; 156.64 § monero; eur; 52.05
1587144697.07; bitcoin; eur; 6481.36 § ethereum; eur; 156.64 § monero; eur; 52.05
1587144698.32; bitcoin; eur; 6481.36 § ethereum; eur; 156.64 § monero; eur; 52.05
1587144699.54; bitcoin; eur; 6481.36 § ethereum; eur; 156.64 § monero; eur; 52.05
1587144700.77; bitcoin; eur; 6481.36 § ethereum; eur; 156.64 § monero; eur; 52.05
1587144702.02; bitcoin; eur; 6481.36 § ethereum; eur; 156.64 § monero; eur; 52.05
1587144703.27; bitcoin; eur; 6481.36 § ethereum; eur; 156.64 § monero; eur; 52.05
1587144704.51; bitcoin; eur; 6481.36 § ethereum; eur; 156.64 § monero; eur; 52.05
1587144705.73; bitcoin; eur; 6481.36 § ethereum; eur; 156.64 § monero; eur; 52.05
1587144706.97; bitcoin; eur; 6481.36 § ethereum; eur; 156.64 § monero; eur; 52.05
1587144708.2; bitcoin; eur; 6481.36 § ethereum; eur; 156.64 § monero; eur; 52.05
1587144709.72; bitcoin; eur; 6481.36 § ethereum; eur; 156.64 § monero; eur; 52.05
1587144710.94; bitcoin; eur; 6481.36 § ethereum; eur; 156.64 § monero; eur; 52.05
1587144712.16; bitcoin; eur; 6481.36 § ethereum; eur; 156.64 § monero; eur; 52.05
1587144713.4; bitcoin; eur; 6481.36 § ethereum; eur; 156.64 § monero; eur; 52.05
1587144715.1; bitcoin; eur; 6481.55 § ethereum; eur; 156.64 § monero; eur; 52.05
1587144716.33; bitcoin; eur; 6481.55 § ethereum; eur; 156.64 § monero; eur; 52.05
1587144717.58; bitcoin; eur; 6481.55 § ethereum; eur; 156.64 § monero; eur; 52.05
1587144718.8; bitcoin; eur; 6481.55 § ethereum; eur; 156.64 § monero; eur; 52.05
1587144720.03; bitcoin; eur; 6481.55 § ethereum; eur; 156.64 § monero; eur; 52.05
1587144721.27; bitcoin; eur; 6481.55 § ethereum; eur; 156.64 § monero; eur; 52.05
1587144722.53; bitcoin; eur; 6481.55 § ethereum; eur; 156.64 § monero; eur; 52.05
1587144723.83; bitcoin; eur; 6481.55 § ethereum; eur; 156.64 § monero; eur; 52.05
1587144725.07; bitcoin; eur; 6481.55 § ethereum; eur; 156.64 § monero; eur; 52.05
1587144726.32; bitcoin; eur; 6481.55 § ethereum; eur; 156.64 § monero; eur; 52.05
1587144727.55; bitcoin; eur; 6481.55 § ethereum; eur; 156.64 § monero; eur; 52.05
1587144728.79; bitcoin; eur; 6481.55 § ethereum; eur; 156.64 § monero; eur; 52.05
1587144730.02; bitcoin; eur; 6481.55 § ethereum; eur; 156.64 § monero; eur; 52.05
1587144731.26; bitcoin; eur; 6481.55 § ethereum; eur; 156.64 § monero; eur; 52.05
1587144732.49; bitcoin; eur; 6481.55 § ethereum; eur; 156.64 § monero; eur; 52.05
1587144733.71; bitcoin; eur; 6481.55 § ethereum; eur; 156.64 § monero; eur; 52.05
1587144734.99; bitcoin; eur; 6481.55 § ethereum; eur; 156.64 § monero; eur; 52.05
1587144736.26; bitcoin; eur; 6481.55 § ethereum; eur; 156.64 § monero; eur; 52.05
1587144737.51; bitcoin; eur; 6481.55 § ethereum; eur; 156.64 § monero; eur; 52.05
1587144738.72; bitcoin; eur; 6481.55 § ethereum; eur; 156.64 § monero; eur; 52.05
1587144739.97; bitcoin; eur; 6481.55 § ethereum; eur; 156.64 § monero; eur; 52.05
1587144741.22; bitcoin; eur; 6481.55 § ethereum; eur; 156.64 § monero; eur; 52.05
1587144742.44; bitcoin; eur; 6481.55 § ethereum; eur; 156.64 § monero; eur; 52.05
1587144743.69; bitcoin; eur; 6481.55 § ethereum; eur; 156.64 § monero; eur; 52.05
1587144744.94; bitcoin; eur; 6481.55 § ethereum; eur; 156.64 § monero; eur; 52.05
1587144746.19; bitcoin; eur; 6481.55 § ethereum; eur; 156.64 § monero; eur; 52.05
1587144747.43; bitcoin; eur; 6481.55 § ethereum; eur; 156.64 § monero; eur; 52.05
1587144748.66; bitcoin; eur; 6481.55 § ethereum; eur; 156.64 § monero; eur; 52.05
1587144749.89; bitcoin; eur; 6481.55 § ethereum; eur; 156.64 § monero; eur; 52.05
1587144751.14; bitcoin; eur; 6481.55 § ethereum; eur; 156.64 § monero; eur; 52.05
1587144752.38; bitcoin; eur; 6481.55 § ethereum; eur; 156.64 § monero; eur; 52.05
1587144753.64; bitcoin; eur; 6481.55 § ethereum; eur; 156.64 § monero; eur; 52.05
1587144754.88; bitcoin; eur; 6481.55 § ethereum; eur; 156.64 § monero; eur; 52.05
1587144756.13; bitcoin; eur; 6481.55 § ethereum; eur; 156.64 § monero; eur; 52.05
1587144757.4; bitcoin; eur; 6481.55 § ethereum; eur; 156.64 § monero; eur; 52.05
1587144758.63; bitcoin; eur; 6481.55 § ethereum; eur; 156.64 § monero; eur; 52.05
1587144759.85; bitcoin; eur; 6481.55 § ethereum; eur; 156.64 § monero; eur; 52.05
1587144761.08; bitcoin; eur; 6481.55 § ethereum; eur; 156.64 § monero; eur; 52.05
1587144762.34; bitcoin; eur; 6481.55 § ethereum; eur; 156.64 § monero; eur; 52.05
1587144763.59; bitcoin; eur; 6481.55 § ethereum; eur; 156.64 § monero; eur; 52.05
1587144764.84; bitcoin; eur; 6481.55 § ethereum; eur; 156.64 § monero; eur; 52.05
1587144766.07; bitcoin; eur; 6481.55 § ethereum; eur; 156.64 § monero; eur; 52.05
1587144767.32; bitcoin; eur; 6481.55 § ethereum; eur; 156.64 § monero; eur; 52.05
1587144768.62; bitcoin; eur; 6481.55 § ethereum; eur; 156.64 § monero; eur; 52.05
1587144769.91; bitcoin; eur; 6481.55 § ethereum; eur; 156.64 § monero; eur; 52.05
1587144771.13; bitcoin; eur; 6481.55 § ethereum; eur; 156.64 § monero; eur; 52.05
